time,open,high,low,close,MA,Volume
1982-01-01,378.76001,387.06,220.74001,291.44,NaN,NaN
1983-01-03,288.60999,421.29999,284.76999,401.60001,NaN,NaN
1984-01-02,408.95001,426.79001,289.32001,303.54999,NaN,NaN
1985-01-01,298.70999,320.47,217.63,233.47,NaN,NaN
1986-01-01,219.75,272.03,169.83,252.42999,NaN,NaN
1987-01-01,251.16,470.16,223.12,261.17999,NaN,NaN
1988-01-01,260.51001,377.39001,254.78,357.38,NaN,NaN
1989-01-02,357.29999,564.65002,357.29999,562.28003,NaN,NaN
1990-01-01,571.85999,632.21997,459.07999,505.92001,NaN,NaN
1991-01-01,501.23001,635.02002,470.41,556.21997,NaN,NaN
1992-01-01,552.15997,664.92999,538,643.96002,NaN,NaN
1993-01-01,643.41998,1275.3199,611.16998,1275.3199,NaN,NaN
1994-01-03,1278.61,1332.04,893.94,971.21002,NaN,NaN
1995-01-02,970.84003,1091.25,836.92999,995.16998,NaN,NaN
1996-01-01,994.71997,1242,987.89001,1237.96,NaN,NaN
1997-01-01,1237.96,1278.9399,512.40997,594.44,NaN,NaN
1998-01-01,591.06,764.94,261.32999,571.91998,NaN,NaN
1999-01-01,576.96002,870.39001,489.62,812.33002,NaN,NaN
2000-01-03,812.97998,1021.2,673.73999,679.64001,NaN,NaN
2001-01-01,676.44,737.56,549.53003,691.64001,NaN,NaN
2002-01-01,695.20001,816.94,614,646.32001,NaN,NaN
2003-01-01,646.98999,818.57001,615.77002,793.94,NaN,NaN
2004-01-02,786.26001,918.95001,769.28998,907.42999,NaN,NaN
2005-01-03,901.29999,953.88,858.84003,899.78998,NaN,NaN
2006-01-02,899.17999,1110.12,883.28998,1096.24,NaN,NaN
2007-01-02,1096.76,1452.5699,1090.39,1445.03,NaN,NaN
2008-01-02,1443.6801,1524.6899,821.75,876.75,NaN,NaN
2009-01-02,876.75,1288.42,836.51001,1272.78,NaN,NaN
2010-01-04,1272.3101,1531.99,1224.37,1518.91,NaN,NaN
2011-01-03,1524.53,1597.08,1310.53,1530.73,NaN,NaN
2012-01-03,1523.6,1688.95,1502.09,1688.95,NaN,NaN
2013-01-02,1685.15,1882.2,1597,1866.96,NaN,NaN
2014-01-02,1865.73,1896.23,1671.8199,1761.25,NaN,NaN
2015-01-02,1757.15,1867.53,1503.6801,1692.51,NaN,NaN
2016-01-04,1686.8199,1729.13,1600.92,1641.73,NaN,NaN
2017-01-03,1636.9399,1796.8101,1630.67,1796.8101,NaN,NaN
2018-01-02,1783.1,1896.03,1626.9301,1690.58,NaN,NaN
2019-01-02,1693.51,1732.27,1548.45,1588.76,NaN,NaN
2020-01-02,1590.98,1695.96,1207.8,1627.21,NaN,NaN
2021-01-04,1629.01,1646.24,1475.37,1567.53,NaN,NaN
2022-01-03,1553.64,1620.4399,1372.5699,1495.49,NaN,NaN
2023-01-03,1488.54,1501.86,1369.41,1454.66,NaN,NaN
2024-01-02,1452.2,1632.79,1446.36,1607.3199,NaN,NaN